provider_id,parent_account_id,provider_sales_id,vendor_name,country_code,business_segment_v2,provider_name,city_name,account_management_segment,gmv_eur,orders_n,provider_cm_l2_pct_gmv,country_cm_l2_pct_gmv,cm_l2_pp_above_country
145312,108110,50006369181,SAKURA SUSHI LVIV Lviv,ua,SMB (AM Segment),Sakura sushi,Lviv,Missing AM Segment Trait,1660.2790832519531,86.0,14.410980779340315,2.3596736654725854,12.051307113867729
86086,58404,77076030007,O’zero,ua,SMB (AM Segment),O’zero,Kyiv,Missing AM Segment Trait,1654.8829650878906,59.0,5.93482242042993,2.3596736654725854,3.575148754957344
146586,81912,100005039611,ГАЛИЦЬКИЙ КУХОЛЬ,ua,SMB (AM Segment),ГАЛИЦЬКИЙ КУХОЛЬ Чорновола,Lviv,Missing AM Segment Trait,1649.9172668457031,149.0,6.964291090636221,2.3596736654725854,4.604617425163636
167231,124144,100005050120,Greta домашній ресторан,ua,SMB (AM Segment),Greta домашній ресторан,Kyiv,Missing AM Segment Trait,1642.7809143066406,85.0,20.76614561278246,2.3596736654725854,18.406471947309875
160282,119790,100005046802,Мій кебаб,ua,SMB (AM Segment),Мій кебаб,Lviv,Missing AM Segment Trait,1641.3540496826172,127.0,10.766588617582222,2.3596736654725854,8.406914952109638
130340,95453,12318465,СУШІ-БАР YAMA Vinnytsia,ua,SMB (AM Segment),Суші-бар YAMA вул. Київська,Vinnytsia,Missing AM Segment Trait,1634.4002304077148,97.0,12.06253318633276,2.3596736654725854,9.702859520860173
96506,66577,61861370103,Паб Буха-Rest,ua,SMB (AM Segment),Паб Буха-Rest,Ivano-Frankivsk,Missing AM Segment Trait,1620.5726852416992,82.0,4.827251296742346,2.3596736654725854,2.4675776312697604
51356,35403,5133500,Scorini,ua,SMB (AM Segment),Scorini просп. Тракторобудівників,Kharkiv,Silver (AM Segment),1617.2961196899414,86.0,17.321756657375023,2.3596736654725854,14.962082991902438
118443,85220,100005023971,Бургерна Mr. Bear Grill,ua,SMB (AM Segment),Бургерна Mr. Bear Grill,Odesa,Missing AM Segment Trait,1613.3117370605469,94.0,7.057559601013139,2.3596736654725854,4.697885935540554
75091,50225,51866900042,Monkey Sushi,ua,SMB (AM Segment),Monkey Sushi,Lviv,Bronze (AM Segment),1612.3080825805664,56.0,18.838924878286026,2.3596736654725854,16.47925121281344
118192,84996,50005878809,OLD SCHOOL Kharkiv,ua,SMB (AM Segment),Old School,Kharkiv,Missing AM Segment Trait,1607.1231994628906,102.0,11.333677360843152,2.3596736654725854,8.974003695370566
93735,27135,51866240077,Шаурма & Бургери,ua,SMB (AM Segment),Шаурма & Бургери вул. Льва Толстого,Odesa,Missing AM Segment Trait,1595.2330322265625,121.0,17.809042332621093,2.3596736654725854,15.449368667148509
